iter	Passed	Remaining
541	11624	9822
542	11642	9798
543	11662	9776
544	11679	9750
545	11696	9725
546	11713	9700
547	11732	9677
548	11749	9651
549	11768	9628
550	11784	9603
551	11802	9578
552	11820	9554
553	11837	9529
554	11855	9505
555	11872	9480
556	11892	9458
557	11908	9432
558	11929	9411
559	11947	9387
560	11965	9363
561	11982	9338
562	11999	9314
563	12017	9290
564	12035	9266
565	12054	9242
566	12082	9226
567	12102	9204
568	12122	9182
569	12140	9158
570	12160	9136
571	12182	9115
572	12201	9092
573	12221	9070
574	12242	9048
575	12260	9025
576	12278	9001
577	12298	8979
578	12319	8958
579	12339	8935
580	12363	8916
581	12386	8896
582	12410	8876
583	12431	8855
584	12450	8832
585	12470	8810
586	12488	8786
587	12509	8765
588	12528	8742
589	12546	8718
590	12569	8698
591	12588	8675
592	12606	8652
593	12627	8630
594	12648	8609
595	12667	8586
596	12688	8565
597	12706	8541
598	12725	8519
599	12743	8495
600	12762	8472
601	12779	8448
602	12798	8426
603	12816	8402
604	12834	8379
605	12853	8356
606	12870	8332
607	12886	8308
608	12903	8284
609	12923	8262
610	12941	8239
611	12958	8215
612	12976	8192
613	12995	8169
614	13012	8145
615	13029	8122
616	13047	8099
617	13063	8075
618	13081	8051
619	13099	8028
620	13116	8004
621	13135	7982
622	13153	7959
623	13175	7939
624	13193	7916
625	13209	7891
626	13227	7868
627	13244	7845
628	13260	7821
629	13277	7798
630	13294	7774
631	13312	7751
632	13329	7728
633	13347	7705
634	13367	7683
635	13385	7660
636	13403	7637
637	13420	7614
638	13437	7591
639	13457	7569
640	13474	7546
641	13492	7523
642	13508	7500
643	13526	7477
644	13543	7454
645	13561	7431
646	13580	7409
647	13598	7387
648	13617	7364
649	13634	7341
650	13652	7318
651	13671	7296
652	13689	7274
653	13707	7251
654	13724	7229
655	13742	7206
656	13814	7212
657	13832	7189
658	13848	7165
659	13866	7143
660	13890	7123
661	13908	7101
662	13928	7080
663	13948	7058
664	13966	7035
665	13983	7012
666	14002	6990
667	14023	6969
668	14041	6947
669	14061	6925
670	14079	6903
671	14096	6880
672	14116	6858
673	14133	6836
674	14153	6814
675	14169	6791
676	14188	6769
677	14207	6747
678	14227	6726
679	14245	6703
680	14262	6680
681	14279	6658
682	14298	6636
683	14317	6614
684	14336	6592
685	14358	6572
686	14376	6549
687	14394	6527
688	14411	6504
689	14430	6483
690	14447	6460
691	14464	6437
692	14483	6416
693	14499	6393
694	14517	6370
695	14534	6348
696	14551	6325
697	14570	6303
698	14593	6284
699	14641	6274
700	14663	6254
701	14683	6233
702	14699	6210
703	14716	6187
704	14733	6165
705	14751	6143
706	14768	6120
707	14785	6098
708	14804	6076
709	14820	6053
710	14839	6031
711	14858	6010
712	14875	5987
713	14898	5967
714	14932	5952
715	14958	5933
716	14982	5913
717	15005	5893
718	15035	5876
719	15063	5858
720	15100	5843
721	15124	5823
722	15145	5802
723	15164	5780
724	15181	5758
725	15199	5736
726	15218	5714
727	15236	5692
728	15253	5670
729	15273	5648
730	15290	5626
731	15308	5604
732	15325	5582
733	15345	5561
734	15366	5540
735	15384	5518
736	15403	5496
737	15420	5474
738	15436	5452
739	15456	5430
740	15478	5410
741	15495	5387
742	15513	5366
743	15531	5344
744	15547	5321
745	15565	5299
746	15582	5277
747	15601	5255
748	15618	5233
749	15637	5212
750	15655	5190
751	15671	5168
752	15691	5147
753	15709	5125
754	15728	5104
755	15745	5081
756	15762	5059
757	15782	5038
758	15800	5016
759	15816	4994
760	15834	4972
761	15851	4950
762	15868	4928
763	15886	4907
764	15907	4886
765	15928	4865
766	15946	4844
767	15964	4822
768	15982	4800
769	15999	4779
770	16060	4770
771	16087	4751
772	16118	4733
773	16137	4711
774	16158	4691
775	16174	4668
776	16191	4646
777	16207	4624
778	16227	4603
779	16244	4581
780	16262	4560
781	16280	4538
782	16299	4517
783	16335	4500
784	16377	4485
785	16406	4467
786	16424	4445
787	16441	4423
788	16459	4401
789	16475	4379
790	16493	4357
791	16512	4336
792	16529	4314
793	16547	4293
794	16569	4272
795	16588	4251
796	16606	4229
797	16624	4208
798	16641	4186
799	16659	4164
800	16677	4143
801	16694	4121
802	16711	4099
803	16729	4078
804	16745	4056
805	16765	4035
806	16783	4013
807	16802	3992
808	16819	3971
809	16836	3949
810	16851	3927
811	16866	3905
812	16886	3884
813	16915	3865
814	16949	3847
815	16978	3828
816	17000	3807
817	17021	3787
818	17036	3765
819	17054	3743
820	17070	3721
821	17087	3700
822	17103	3678
823	17118	3656
824	17136	3635
825	17152	3613
826	17169	3591
827	17188	3570
828	17203	3548
829	17219	3526
830	17234	3504
831	17250	3483
832	17264	3461
833	17279	3439
834	17294	3417
835	17313	3396
836	17330	3374
837	17347	3353
838	17364	3332
839	17379	3310
840	17396	3289
841	17412	3267
842	17429	3246
843	17447	3224
844	17463	3203
845	17480	3182
846	17499	3161
847	17517	3139
848	17534	3118
849	17549	3097
850	17567	3075
851	17583	3054
852	17602	3033
853	17620	3012
854	17636	2990
855	17653	2969
856	17668	2948
857	17685	2927
858	17703	2905
859	17719	2884
860	17735	2863
861	17751	2841
862	17767	2820
863	17784	2799
864	17804	2778
865	17819	2757
866	17836	2736
867	17854	2715
868	17871	2694
869	17886	2672
870	17902	2651
871	17923	2630
872	17940	2609
873	17958	2588
874	17974	2567
875	17990	2546
876	18010	2525
877	18025	2504
878	18041	2483
879	18058	2462
880	18074	2441
881	18089	2420
882	18105	2399
883	18121	2377
884	18137	2356
885	18153	2335
886	18169	2314
887	18185	2293
888	18203	2272
889	18219	2251
890	18236	2230
891	18253	2210
892	18268	2188
893	18284	2167
894	18300	2147
895	18315	2125
896	18332	2105
897	18353	2084
898	18368	2063
899	18384	2042
900	18400	2021
901	18422	2001
902	18438	1980
903	18454	1959
904	18469	1938
905	18490	1918
906	18507	1897
907	18524	1876
908	18540	1856
909	18558	1835
910	18576	1814
911	18595	1794
912	18611	1773
913	18631	1753
914	18648	1732
915	18663	1711
916	18679	1690
917	18697	1670
918	18713	1649
919	18729	1628
920	18744	1607
921	18761	1587
922	18777	1566
923	18795	1545
924	18813	1525
925	18829	1504
926	18848	1484
927	18863	1463
928	18881	1443
929	18896	1422
930	18914	1401
931	18935	1381
932	18952	1361
933	18968	1340
934	18984	1319
935	19025	1300
936	19043	1280
937	19062	1259
938	19080	1239
939	19100	1219
940	19116	1198
941	19132	1178
942	19150	1157
943	19168	1137
944	19186	1116
945	19205	1096
946	19222	1075
947	19239	1055
948	19265	1035
949	19283	1014
950	19301	994
951	19318	974
952	19335	953
953	19351	933
954	19368	912
955	19385	892
956	19405	871
957	19423	851
958	19440	831
959	19458	810
960	19479	790
961	19497	770
962	19515	749
963	19532	729
964	19550	709
965	19568	688
966	19586	668
967	19605	648
968	19624	627
969	19643	607
970	19661	587
971	19678	566
972	19696	546
973	19715	526
974	19733	505
975	19751	485
976	19770	465
977	19787	445
978	19806	424
